epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1308.82,0.83625,0.47749,1.04743,0.95114,0.92104,0.95515,0.76217,0.85908,0.471,0.95741,0.000848969,0.000848969,0.000848969
43,1339.81,0.82977,0.47041,1.04709,0.98095,0.89609,0.95132,0.75285,0.88292,0.50494,0.97658,0.000834822,0.000834822,0.000834822
44,1370.61,0.83672,0.47563,1.04582,0.97684,0.86772,0.94455,0.76392,0.88625,0.50367,0.9817,0.000820675,0.000820675,0.000820675
45,1401.42,0.8277,0.46861,1.03898,0.98163,0.9031,0.95333,0.75782,0.92527,0.48163,0.99099,0.000806528,0.000806528,0.000806528
46,1431.12,0.82977,0.46968,1.04614,0.98104,0.89815,0.93528,0.74908,0.87989,0.49187,0.97435,0.00079238,0.00079238,0.00079238
47,1462.08,0.82132,0.46236,1.03739,0.98397,0.91504,0.94075,0.76246,0.8672,0.50636,0.96369,0.000778233,0.000778233,0.000778233
48,1492.98,0.81814,0.45818,1.03785,1,0.90785,0.95264,0.76169,0.87447,0.47098,0.96533,0.000764086,0.000764086,0.000764086
49,1523.84,0.8155,0.45591,1.03927,0.98571,0.87579,0.94404,0.74473,0.89518,0.49425,0.98594,0.000749939,0.000749939,0.000749939
50,1554.66,0.81729,0.45651,1.03395,0.97542,0.9036,0.94204,0.75377,0.8804,0.47045,0.96738,0.000735792,0.000735792,0.000735792
51,1585.32,0.81747,0.45538,1.03539,0.98395,0.89631,0.94892,0.75616,0.88553,0.48773,0.96279,0.000721645,0.000721645,0.000721645
52,1615.97,0.80621,0.45064,1.02845,0.95904,0.91119,0.9448,0.75286,0.88808,0.48469,0.97257,0.000707498,0.000707498,0.000707498
53,1646.77,0.80153,0.443,1.03104,0.95018,0.92387,0.94824,0.76316,0.87215,0.46312,0.95887,0.000693351,0.000693351,0.000693351
54,1677.43,0.80105,0.44517,1.02648,0.98536,0.89214,0.94932,0.76124,0.90331,0.46652,0.97345,0.000679204,0.000679204,0.000679204
55,1708.57,0.80325,0.44619,1.02458,0.98291,0.90613,0.94986,0.76694,0.86829,0.46796,0.96822,0.000665057,0.000665057,0.000665057
56,1740.29,0.79905,0.44239,1.02693,0.9767,0.91064,0.94724,0.76042,0.88832,0.46357,0.96719,0.000650909,0.000650909,0.000650909
57,1771.4,0.78927,0.43534,1.02174,0.96873,0.91062,0.94338,0.76747,0.88274,0.47586,0.96254,0.000636762,0.000636762,0.000636762
58,1802.36,0.79124,0.43472,1.02341,0.971,0.90693,0.94475,0.77131,0.88951,0.48118,0.96876,0.000622615,0.000622615,0.000622615
59,1832.16,0.79284,0.43795,1.02357,0.98143,0.91251,0.9482,0.75998,0.85722,0.45905,0.95809,0.000608468,0.000608468,0.000608468
60,1863.16,0.77778,0.42916,1.01898,0.97733,0.90432,0.94153,0.76036,0.85999,0.46719,0.96215,0.000594321,0.000594321,0.000594321
61,1893.98,0.77647,0.42887,1.01872,0.98619,0.89986,0.94669,0.76203,0.8561,0.46258,0.96156,0.000580174,0.000580174,0.000580174
62,1925.78,0.78266,0.42751,1.01814,0.98735,0.89815,0.94678,0.76822,0.87582,0.45964,0.96156,0.000566027,0.000566027,0.000566027
63,1956.68,0.78051,0.42527,1.01739,0.97862,0.89525,0.94709,0.76789,0.86379,0.45631,0.96111,0.00055188,0.00055188,0.00055188
64,1987.63,0.76699,0.41854,1.01355,0.98655,0.89235,0.94972,0.76256,0.878,0.48106,0.96679,0.000537733,0.000537733,0.000537733
65,2018.59,0.77086,0.41911,1.01238,0.99063,0.89949,0.94795,0.76198,0.8672,0.4785,0.97008,0.000523586,0.000523586,0.000523586
66,2049.33,0.7733,0.42,1.01618,0.98825,0.89637,0.94481,0.75906,0.86684,0.47832,0.96816,0.000509438,0.000509438,0.000509438
67,2080.19,0.76884,0.41875,1.01211,0.97714,0.90974,0.9481,0.76056,0.88672,0.48178,0.98585,0.000495291,0.000495291,0.000495291
68,2111.08,0.76554,0.41487,1.01106,0.98613,0.90943,0.95377,0.76462,0.86956,0.45387,0.97594,0.000481144,0.000481144,0.000481144
69,2141.82,0.75807,0.40818,1.00506,0.97513,0.9072,0.94674,0.75501,0.8721,0.44313,0.97359,0.000466997,0.000466997,0.000466997
70,2172.54,0.75136,0.40704,1.00284,0.98147,0.90243,0.94762,0.7632,0.87734,0.453,0.97163,0.00045285,0.00045285,0.00045285
71,2204.12,0.74746,0.4081,1.00671,0.98208,0.9139,0.94816,0.76945,0.85947,0.45246,0.96232,0.000438703,0.000438703,0.000438703
72,2234.68,0.7434,0.40437,1.00235,0.97256,0.92084,0.94824,0.75345,0.88668,0.47758,0.98146,0.000424556,0.000424556,0.000424556
73,2265.57,0.74806,0.40076,1.00287,0.99054,0.91258,0.95001,0.76593,0.8859,0.45281,0.9728,0.000410409,0.000410409,0.000410409
74,2296.42,0.73513,0.39639,0.99959,0.99001,0.9046,0.9393,0.7657,0.87643,0.45494,0.97594,0.000396262,0.000396262,0.000396262
75,2327.37,0.74339,0.40122,1.00229,0.9834,0.89907,0.94253,0.75473,0.8595,0.4723,0.96284,0.000382115,0.000382115,0.000382115
76,2358.12,0.73419,0.39717,0.99887,0.99149,0.91496,0.9477,0.76023,0.86398,0.46772,0.95836,0.000367967,0.000367967,0.000367967
77,2388.98,0.73245,0.39336,0.99897,0.98832,0.90913,0.94535,0.7626,0.86638,0.46744,0.96143,0.00035382,0.00035382,0.00035382
78,2419.88,0.73069,0.39791,0.99539,0.96733,0.91929,0.94153,0.76323,0.87264,0.46713,0.96109,0.000339673,0.000339673,0.000339673
