epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1012.82,1.26845,0.86701,1.14759,0.85825,0.61122,0.69976,0.45238,1.20374,0.74924,1.10911,0.000848969,0.000848969,0.000848969
43,1036.99,1.26349,0.86578,1.14784,0.89622,0.59045,0.68922,0.45161,1.19462,0.75265,1.10882,0.000834822,0.000834822,0.000834822
44,1060.96,1.27704,0.87328,1.14594,0.93162,0.55464,0.68069,0.45717,1.13531,0.72555,1.0911,0.000820675,0.000820675,0.000820675
45,1085.22,1.25364,0.85032,1.13601,0.92477,0.60156,0.70289,0.4498,1.19385,0.7366,1.09913,0.000806528,0.000806528,0.000806528
46,1109.28,1.26098,0.85766,1.13518,0.84777,0.61521,0.69312,0.44445,1.17555,0.75113,1.10562,0.00079238,0.00079238,0.00079238
47,1133.34,1.25049,0.85775,1.14008,0.88168,0.59836,0.68164,0.45737,1.18715,0.73811,1.09991,0.000778233,0.000778233,0.000778233
48,1157.42,1.24991,0.84893,1.13414,0.91199,0.59757,0.69597,0.4654,1.18711,0.73633,1.10548,0.000764086,0.000764086,0.000764086
49,1181.59,1.22732,0.82938,1.12807,0.90965,0.58768,0.69485,0.46295,1.18693,0.73351,1.10618,0.000749939,0.000749939,0.000749939
50,1205.67,1.24036,0.83775,1.12945,0.9034,0.58214,0.68919,0.46487,1.19643,0.73174,1.10432,0.000735792,0.000735792,0.000735792
51,1229.87,1.22756,0.82917,1.12655,0.94692,0.58062,0.70559,0.47022,1.14151,0.7088,1.08974,0.000721645,0.000721645,0.000721645
52,1254.18,1.23163,0.83712,1.13112,0.91895,0.57873,0.68385,0.45403,1.21605,0.74707,1.115,0.000707498,0.000707498,0.000707498
53,1278.33,1.23481,0.83505,1.12897,0.92454,0.60965,0.70463,0.46172,1.1723,0.73467,1.09375,0.000693351,0.000693351,0.000693351
54,1302.32,1.22413,0.82953,1.12376,0.86444,0.61535,0.70368,0.46539,1.20233,0.7345,1.10954,0.000679204,0.000679204,0.000679204
55,1326.5,1.21695,0.8146,1.11969,0.86691,0.60837,0.69844,0.46938,1.12531,0.70176,1.08848,0.000665057,0.000665057,0.000665057
56,1350.54,1.21952,0.82502,1.11715,0.89289,0.60968,0.70908,0.46744,1.14803,0.71281,1.09088,0.000650909,0.000650909,0.000650909
57,1374.62,1.21408,0.81266,1.11631,0.89402,0.60745,0.69261,0.46061,1.13452,0.6992,1.08446,0.000636762,0.000636762,0.000636762
58,1398.86,1.22197,0.81475,1.1172,0.90184,0.60783,0.69296,0.46556,1.13536,0.71816,1.08724,0.000622615,0.000622615,0.000622615
59,1423.08,1.20694,0.80901,1.11016,0.91224,0.60602,0.69819,0.46575,1.15071,0.72738,1.08758,0.000608468,0.000608468,0.000608468
60,1447.27,1.19841,0.80265,1.10915,0.90713,0.59325,0.68943,0.46748,1.15076,0.7231,1.09277,0.000594321,0.000594321,0.000594321
61,1471.31,1.19968,0.79346,1.1063,0.87151,0.59446,0.68356,0.46853,1.17387,0.71854,1.08583,0.000580174,0.000580174,0.000580174
62,1495.62,1.18919,0.78319,1.10021,0.9096,0.60043,0.69516,0.46278,1.19166,0.71647,1.10135,0.000566027,0.000566027,0.000566027
63,1519.87,1.18389,0.78796,1.10334,0.913,0.59614,0.69016,0.47014,1.17753,0.71049,1.09074,0.00055188,0.00055188,0.00055188
64,1543.93,1.18779,0.78708,1.09897,0.89178,0.63565,0.70883,0.47796,1.1599,0.70393,1.08759,0.000537733,0.000537733,0.000537733
65,1568.18,1.18776,0.79296,1.10308,0.90546,0.60963,0.70032,0.47853,1.13482,0.6937,1.07989,0.000523586,0.000523586,0.000523586
