epoch,train_loss,map50_95,map50,lr,seconds
1,3.890155191593121,0.214091891251086,0.40303806545416065,0.005,81.16345620155334
2,3.0669375232068923,0.2514464122165981,0.45557283194127374,0.005,67.43643617630005
3,2.8440853449250247,0.23911927613203435,0.4283090767749244,0.005,67.02678632736206
4,2.667849581774832,0.24802640868240833,0.4534842802928145,0.005,66.66970992088318
5,2.589553731266208,0.24895326318979075,0.43136495583637235,0.005,66.2090482711792
6,2.466978761714651,0.2676579792209232,0.46808839322822227,0.005,67.03975200653076
7,2.3878777094549264,0.27286672922396626,0.47872212947815096,0.005,67.54520845413208
8,2.311608041773112,0.2668240773978775,0.4632000106434172,0.005,68.3795690536499
9,2.236185604318555,0.25852552938403195,0.464307883787881,0.005,67.86158084869385
10,2.1891302593569524,0.2679941983068917,0.4709451951565347,0.005,66.38702297210693
11,2.1303316198461775,0.2698671725896545,0.46533338745934405,0.005,65.8096034526825
12,2.0674016965998474,0.2828778594374616,0.49233342235821365,0.005,66.78018689155579
13,2.0452012013653555,0.2671605599557278,0.46500043466073127,0.005,67.0301558971405
14,2.0228752863131327,0.2676403857734848,0.46643876628628805,0.005,66.69190621376038
15,1.9783442070980612,0.2771091425116116,0.4849669970622826,0.005,67.00139260292053
16,1.9165605927187863,0.2710140314236687,0.47135128050751346,0.005,67.23400640487671
17,1.866230788757991,0.2690038522617085,0.47091861318329914,0.005,67.08480334281921
18,1.8463394880907702,0.2706100764393973,0.476591161788336,0.005,65.67542743682861
19,1.8452360945679536,0.25826677002076415,0.45179821471535425,0.005,67.32715511322021
20,1.843411022715826,0.26985958030241897,0.4769143602035883,0.005,66.3351469039917
21,1.7878186681276729,0.27243574881554394,0.4646791477252656,0.005,66.19735813140869
22,1.758017608010064,0.238287629655099,0.44454641677594814,0.005,66.42171859741211
23,1.7552439309943917,0.2747672235055157,0.4864601826391732,0.005,66.429771900177
24,1.7072114829539027,0.27330111392562906,0.47273408466556477,0.005,64.69152975082397
25,1.7262665630919154,0.274291273982308,0.4800710384477842,0.005,66.35984063148499
26,1.672900905645905,0.2733396083357614,0.48132273386335356,0.005,66.46998906135559
27,1.6757623599243654,0.28092035079785105,0.47705382814963565,0.005,63.90561890602112
28,1.6650633333887723,0.2653426286068787,0.46188215629880147,0.005,65.06887245178223
29,1.636340214078408,0.2783367044294307,0.49531089970967485,0.005,65.2513279914856
30,1.585710827519777,0.27827164529220233,0.495052814112827,0.005,65.03446674346924
31,1.6003276820660863,0.2660324272008869,0.46849693242225543,0.005,65.20070385932922
32,1.5816710119382276,0.2783570612040958,0.47633171880894815,0.005,64.96080684661865
33,1.5805238537432909,0.2791732219087015,0.4853299909143721,0.005,65.32669639587402
34,1.5446271966845946,0.2707859131969059,0.47722031395655495,0.005,65.1443440914154
35,1.5374533550904772,0.28049728588241674,0.49264807640672525,0.005,65.85352039337158
36,1.5384016570211376,0.27385592924868424,0.4719832178546437,0.005,65.84752035140991
37,1.5577033595744625,0.266976260986121,0.46434196053562143,0.005,64.81600666046143
38,1.5320858828206296,0.26302296749842363,0.4525280975161633,0.005,65.37313508987427
39,1.5162360789230367,0.26446460522475546,0.45345448231175495,0.005,64.734530210495
40,1.5110219110253538,0.2619775245841245,0.4443477823720419,0.005,64.99300599098206
41,1.481178216425496,0.2608634876183344,0.44899918967992414,0.005,65.08916473388672
42,1.449993527793639,0.2767888645086778,0.4858665075429524,0.005,65.09688711166382
43,1.4530688956341584,0.2626635362329705,0.4610499881833979,0.005,65.33399271965027
44,1.469113886509579,0.2705412756970412,0.4690023078552067,0.005,65.0050790309906
45,1.4494153855698888,0.26647449927566136,0.4849536535993501,0.005,66.08280730247498
46,1.4526422900221954,0.2604447367167745,0.45226633899477775,0.005,64.60655045509338
47,1.4450930773752209,0.2600765835094149,0.46528945944686634,0.005,65.02865266799927
48,1.423365679988518,0.25700660019578675,0.4522816034888569,0.005,64.59720396995544
49,1.4222920155463918,0.2736658447884396,0.48592121455449194,0.005,65.00042963027954
50,1.4366077193870643,0.27519806455616236,0.4638796958741839,0.005,64.97614431381226
51,1.4579720317857738,0.2526836125768777,0.4473431254518764,0.005,65.36079907417297
52,1.405330771192487,0.2711820668862184,0.4750136244583838,0.005,64.84225296974182
53,1.4431973243740346,0.2649925236815105,0.4696029174352083,0.005,64.86284637451172
54,1.381657482879021,0.26534870992398696,0.47140779890364826,0.005,65.91595268249512
55,1.324831677892827,0.27582525167301647,0.47028987816701046,0.005,65.08265542984009
56,1.354257257554709,0.27413641629101704,0.46635930035751766,0.005,65.82964301109314
57,1.3690862032012645,0.2719247283464972,0.45511560202577733,0.005,64.68059396743774
58,1.3602450580400796,0.2529319967622903,0.45386782522702024,0.005,64.9430160522461
59,1.3475292780099002,0.25372010923206545,0.43672983630940815,0.005,65.457688331604
60,1.3603431147290992,0.25542833283349936,0.45303091752638497,0.005,64.74504351615906
61,1.1383045021549902,0.29115844091926024,0.49136927919008644,0.0005,64.73791694641113
62,0.9955090219992905,0.2873296277023457,0.4901040953391119,0.0005,64.9914128780365
63,0.9501067611429562,0.2925101330006036,0.502640231756842,0.0005,66.27123808860779
64,0.9046181913053468,0.29140400759926904,0.497216769077198,0.0005,64.96316862106323
65,0.8850657271848547,0.29075422624538616,0.4965890449802372,0.0005,64.37155723571777
66,0.8603077333200254,0.2905825381420944,0.5003968915501098,0.0005,65.99056625366211
67,0.8439105477921454,0.29227807912945497,0.5070837728809097,0.0005,64.8210825920105
68,0.8342023579197861,0.2902539375303097,0.5012230251524097,0.0005,65.78547167778015
69,0.8192835079367179,0.2900217828598307,0.4996692231917572,0.0005,65.31616973876953
70,0.8094743651871816,0.2906329771979789,0.5008428425356594,0.0005,65.08158349990845
71,0.789724128794854,0.29473643001299854,0.5008414252413808,0.0005,65.10312581062317
72,0.7829842951273244,0.2923363557482696,0.5023403870157035,0.0005,65.15914034843445
73,0.7697869557647902,0.2941329442655009,0.5048222763924894,0.0005,65.40708041191101
74,0.7615625410122859,0.2897364540623508,0.4931475346624039,0.0005,67.0426778793335
75,0.7494080727081985,0.29208579051393024,0.4985400189619055,0.0005,64.439199924469
76,0.7529993059549356,0.29067650621278907,0.4920001369510588,0.0005,65.0175724029541
77,0.7337358877407555,0.28665147239586486,0.49018344375122147,0.0005,65.74455118179321
78,0.7212968775882819,0.287852488483227,0.48519341403269145,0.0005,64.94463777542114
79,0.7223995596093813,0.288014570107353,0.4940575540049374,0.0005,64.80056238174438
80,0.7156200807321348,0.28854137624434795,0.48868279080345783,0.0005,65.88977313041687
81,0.6977192852215166,0.2913580943912105,0.4946417957622994,5e-05,64.8332200050354
82,0.6868054315179662,0.28997649333465825,0.49533079718000733,5e-05,65.04642868041992
83,0.692526131944975,0.28737237095219775,0.49382554600198597,5e-05,64.6990385055542
84,0.6943174278828049,0.2921598191451318,0.49283398645207244,5e-05,64.75542426109314
85,0.6887167775692241,0.29047379136489654,0.4926520201915107,5e-05,65.3423547744751
86,0.6869957935074608,0.2902681579587704,0.49025581217260394,5e-05,65.49391770362854
87,0.6802235781993229,0.29275969221193515,0.4972784717372203,5e-05,65.44170355796814
88,0.6843370910935046,0.29067004927443363,0.48926318135803837,5e-05,66.1356794834137
89,0.6874911511618558,0.29028495097560286,0.49496610053679024,5e-05,64.91371464729309
90,0.6837146669856073,0.2894515277197724,0.48822491890181635,5e-05,65.13642883300781
91,0.6851178426056105,0.28976698753103697,0.4913450110793567,5e-05,65.48085331916809
92,0.68256369654501,0.28864254530829087,0.4941975084206042,5e-05,65.55140018463135
93,0.6799336353120583,0.2883263678591128,0.49001284263320966,5e-05,64.76897287368774
94,0.6743809266691037,0.289940117513502,0.49466325645142856,5e-05,64.6547019481659
95,0.6766928419049417,0.2858643916067127,0.4915860889282579,5e-05,65.89037013053894
