class,precision,recall,f1,ap50_custom,coco_map50_95,coco_map50,ground_truth,tp,fp,fn
person,0.9411764705882353,0.8347826086956521,0.8847926267281107,0.9064023679858231,0.5966023789163865,0.9010284028649818,115,96,6,19
car,0.9666666666666667,0.90625,0.9354838709677419,0.9330000000000002,0.7366336040917625,0.927992799279928,32,29,1,3
bicycle,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.9386214689265537,0.6991622239146992,0.9339933993399341,17,16,3,1
