epoch,train_loss,map50_95,map50,lr,seconds
1,2.1014063876408797,0.6105131330954373,0.8865126572738274,0.005,51.40216040611267
2,1.3277810740929383,0.6378874965782817,0.8773245180161025,0.005,35.42090344429016
3,1.1809614264048063,0.6419202973804953,0.9026056650954061,0.005,35.578471660614014
4,1.065527377678798,0.6546433105124004,0.9014108161151936,0.005,35.504594564437866
5,0.9988386124372483,0.63970541299403,0.9082651451897655,0.005,34.61934518814087
6,0.9227453380823135,0.6711584737443447,0.9082496370857857,0.005,35.7540340423584
7,0.8576525465800212,0.6503525721887361,0.8965406311581636,0.005,36.36358165740967
8,0.8276363489719537,0.6328681788797164,0.893861168089542,0.005,36.528024435043335
9,0.7797124599034969,0.6364546622166227,0.8955159056730359,0.005,36.76704502105713
10,0.7427971815833678,0.6446964662215675,0.8960907079912478,0.005,35.818522691726685
11,0.7094594424733749,0.6454577709613788,0.9079108792735656,0.005,35.823002099990845
12,0.6679437589186888,0.6414783849252406,0.8978684193572958,0.005,34.421361446380615
13,0.6425974589127761,0.6414955026267197,0.9031008814277359,0.005,35.71154475212097
14,0.6146684930874751,0.6520804489928423,0.8989633734747283,0.005,36.2276611328125
15,0.5839967634815436,0.6424160091958468,0.8973768160019386,0.005,35.839250802993774
16,0.5575217770842406,0.627360119529707,0.891931985652998,0.005,35.81635618209839
17,0.5460903904758967,0.6560601794142779,0.9000031264079906,0.005,35.48906493186951
18,0.5268333148497801,0.6522314715261758,0.9143469326016381,0.005,35.49980640411377
19,0.5113307516162212,0.6464472615111636,0.9084099859741855,0.005,34.668373346328735
20,0.4895978767138261,0.6418415535474127,0.9032239624359043,0.005,35.860246419906616
21,0.4869119757643113,0.6487271428407592,0.8980214907743894,0.005,35.75209951400757
22,0.45140798229437606,0.638106671637339,0.9122955626596957,0.005,35.859519720077515
23,0.4393874399937116,0.6466862311231228,0.8952557203430997,0.005,35.99863314628601
24,0.429967789294628,0.6489892256748812,0.896577214247016,0.005,36.15125894546509
25,0.4187622527090403,0.6548326499603497,0.9012967582902847,0.005,35.84385824203491
26,0.40509522253504165,0.6472737923483242,0.8934573226814616,0.005,34.3790020942688
27,0.38525940489310484,0.6648849557863193,0.893915804832294,0.005,35.62637233734131
28,0.38279369943417035,0.6408142179005404,0.8975153668521881,0.005,35.78132367134094
29,0.38002498705799764,0.6527114612286465,0.8992206936358923,0.005,35.570385456085205
30,0.3680118095989411,0.622973129690896,0.8756783110650217,0.005,35.79000449180603
31,0.36904374435544013,0.6526142909625866,0.8932249879856659,0.005,35.741236209869385
32,0.36726592601491853,0.6548681571380851,0.9021276543233733,0.005,36.103760957717896
33,0.35786906813199704,0.6596869391743545,0.9012693146879605,0.005,34.449931144714355
34,0.33949762319143,0.64068033092463,0.9104601839493173,0.005,35.895389556884766
35,0.32411679545274147,0.6385108715310419,0.884731719104326,0.005,36.1199893951416
36,0.3251765301021246,0.6478183193505561,0.8964204327295733,0.005,38.73086094856262
37,0.3268605938897683,0.6491205735418156,0.8951169374653652,0.005,42.413487911224365
38,0.315387521053736,0.653296115306338,0.8859595609304622,0.005,41.26176643371582
39,0.3120031663431571,0.6559140541487007,0.8899640976135424,0.005,41.57607555389404
40,0.316209113655182,0.650004507244116,0.9014181777369255,0.005,41.79715037345886
41,0.30410244631079525,0.6476075493385371,0.8765366026772073,0.005,39.6526517868042
42,0.2928549211185712,0.6382627506157813,0.8932472194049322,0.005,40.76114320755005
43,0.28081236745302496,0.6441132328636113,0.8879196006445463,0.005,40.501549243927
44,0.2897605439218191,0.654612971036253,0.8934474158733796,0.005,39.48855423927307
